Date,USDJPY
2012/7/25,78.103
2012/7/26,78.324
2012/7/27,78.324
2012/7/29,78.5
2012/7/30,78.101
2012/7/31,78.12
2012/8/1,78.38
2012/8/2,78.22
2012/8/3,78.22
2012/8/5,78.61
2012/8/6,78.2
2012/8/7,78.61
2012/8/8,78.4
2012/8/9,78.61
2012/8/10,78.61
2012/8/12,78.25
2012/8/13,78.33
2012/8/14,78.815
2012/8/15,78.99
2012/8/16,79.25
2012/8/17,79.25
2012/8/19,79.51
2012/8/20,79.33
2012/8/21,79.242
2012/8/22,78.539
2012/8/23,78.6
2012/8/24,78.6
2012/8/26,78.73
2012/8/27,78.75
2012/8/28,78.57
2012/8/29,78.72
2012/8/30,78.53
2012/8/31,78.53
2012/9/2,78.29
2012/9/3,78.339
2012/9/4,78.47
2012/9/5,78.42
2012/9/6,78.89
2012/9/7,78.89
2012/9/9,78.219
2012/9/10,78.226
2012/9/11,77.75
2012/9/12,77.83
2012/9/13,77.648
2012/9/14,77.648
2012/9/16,78.333
2012/9/17,78.673
2012/9/18,78.77
2012/9/19,78.397
2012/9/20,78.2
2012/9/21,78.2
2012/9/23,78.08
2012/9/24,77.864
2012/9/25,77.728
2012/9/26,77.698
2012/9/27,77.61
2012/9/28,77.61
2012/9/30,77.959
2012/10/1,78.041
2012/10/2,78.215
2012/10/3,78.415
2012/10/4,78.484
2012/10/5,78.484
2012/10/7,78.702
2012/10/8,78.286
2012/10/9,78.219
2012/10/10,78.075
2012/10/11,78.402
2012/10/12,78.402
2012/10/14,78.468
2012/10/15,78.789
2012/10/16,78.825
2012/10/17,79.06
2012/10/18,79.308
2012/10/19,79.308
2012/10/21,79.257
2012/10/22,79.99
2012/10/23,79.82
2012/10/24,79.838
2012/10/25,80.235
2012/10/26,80.235
2012/10/29,79.65
2012/10/30,79.764
2012/10/31,79.684
2012/11/1,79.86
2012/11/2,80.22
2012/11/5,80.5
2012/11/6,80.16
2012/11/7,80.29
2012/11/8,79.97
2012/11/9,79.479
2012/11/12,79.46
2012/11/13,79.598
2012/11/14,79.46
2012/11/15,80.2
2012/11/16,81.12
2012/11/19,81.526
2012/11/20,81.35
2012/11/21,81.755
2012/11/22,82.574
2012/11/23,82.359
2012/11/26,82.546
2012/11/27,81.873
2012/11/28,82.08
2012/11/29,82.15
2012/11/30,82.151
2012/12/3,82.456
2012/12/4,82.133
2012/12/5,81.816
2012/12/6,82.436
2012/12/7,82.43
2012/12/10,82.56
2012/12/11,82.35
2012/12/12,82.52
2012/12/13,83.21
2012/12/14,83.667
2012/12/17,84.158
2012/12/18,83.903
2012/12/19,84.361
2012/12/20,84.226
2012/12/21,84.42
2012/12/24,84.41
2012/12/25,84.84
2012/12/26,85
2012/12/27,85.668
2012/12/28,86.507
2012/12/31,85.96
2013/1/1,86.72
2013/1/2,86.6
2013/1/3,87.275
2013/1/4,87.74
2013/1/7,88.198
2013/1/8,87.253
2013/1/9,86.868
2013/1/10,88.133
2013/1/11,89.246
2013/1/14,89.523
2013/1/15,89.46
2013/1/16,88.75
2013/1/17,88.63
2013/1/18,89.821
2013/1/21,90.181
2013/1/22,89.6
2013/1/23,88.529
2013/1/24,88.58
2013/1/25,90.558
2013/1/28,91.179
2013/1/29,90.46
2013/1/30,90.79
2013/1/31,91.021
2013/2/1,91.707
2013/2/4,92.77
2013/2/5,92.153
2013/2/6,93.57
2013/2/7,93.435
2013/2/8,93.633
2013/2/11,92.535
2013/2/12,94.191
2013/2/13,93.305
2013/2/14,93.256
2013/2/15,92.957
2013/2/18,93.722
2013/2/19,93.65
2013/2/20,93.708
2013/2/21,93.66
2013/2/22,93.15
2013/2/25,94.22
2013/2/26,92.397
2013/2/27,92.11
2013/2/28,92.303
2013/3/1,92.582
2013/3/4,93.564
2013/3/5,93.401
2013/3/6,93.289
2013/3/7,93.927
2013/3/8,94.928
2013/3/11,96.17
2013/3/12,96.619
2013/3/13,95.82
2013/3/14,96.02
2013/3/15,95.962
2013/3/18,94.889
2013/3/19,95.343
2013/3/20,95.05
2013/3/21,95.955
2013/3/22,94.91
2013/3/25,94.828
2013/3/26,93.963
2013/3/27,94.635
2013/3/28,94.316
2013/3/29,94.19
2013/3/31,94.282
2013/4/1,93.18
2013/4/2,93.362
2013/4/3,92.889
2013/4/4,96.437
2013/4/5,96.437
2013/4/7,98.751
2013/4/8,99.28
2013/4/9,98.95
2013/4/10,99.666
2013/4/11,99.621
2013/4/12,99.621
2013/4/14,98.406
2013/4/15,96.8
2013/4/16,97.61
2013/4/17,98.029
2013/4/18,98.203
2013/4/19,98.203
2013/4/21,99.797
2013/4/22,99.16
2013/4/23,99.677
2013/4/24,99.42
2013/4/25,99.342
2013/4/26,99.342
2013/4/28,97.842
2013/4/29,97.864
2013/4/30,97.269
2013/5/1,97.132
2013/5/2,97.946
2013/5/3,97.946
2013/5/5,99.1
2013/5/6,99.344
2013/5/7,98.776
2013/5/8,98.878
2013/5/9,100.765
2013/5/10,100.765
2013/5/12,101.923
2013/5/13,101.667
2013/5/14,102.21
2013/5/15,102.258
2013/5/16,102.135
2013/5/17,102.135
2013/5/19,102.701
2013/5/20,102.166
2013/5/21,102.442
2013/5/22,103.176
2013/5/23,102.41
2013/5/24,102.41
2013/5/26,101.061
2013/5/27,101.105
2013/5/28,102.446
2013/5/29,100.916
2013/5/30,101.1
2013/5/31,101.1
2013/6/2,100.476
2013/6/3,99.738
2013/6/4,100.25
2013/6/5,98.952
2013/6/6,97.327
2013/6/7,97.327
2013/6/9,98.238
2013/6/10,98.849
2013/6/11,96.102
2013/6/12,95.929
2013/6/13,95.494
2013/6/14,95.494
2013/6/16,94.242
2013/6/17,94.68
2013/6/18,95.517
2013/6/19,96.59
2013/6/20,97.141
2013/6/21,97.141
2013/6/23,98.423
2013/6/24,97.531
2013/6/25,98.147
2013/6/26,97.77
2013/6/27,98.476
2013/6/28,98.476
2013/6/30,99.38
2013/7/1,99.657
2013/7/2,100.733
2013/7/3,99.956
2013/7/4,100.22
2013/7/5,100.22
2013/7/7,101.386
2013/7/8,100.85
2013/7/9,101.153
2013/7/10,98.551
2013/7/11,99.04
2013/7/12,99.04
2013/7/14,99.197
2013/7/15,99.946
2013/7/16,99.16
2013/7/17,99.66
2013/7/18,100.522
2013/7/19,100.522
2013/7/21,100.389
2013/7/22,99.324
2013/7/23,99.497
2013/7/24,100.452
2013/7/25,99.275
2013/7/26,99.275
2013/7/28,97.96
2013/7/29,98.043
2013/7/30,98.016
2013/7/31,97.833
2013/8/1,99.42
2013/8/2,99.42
2013/8/4,98.935
2013/8/5,98.232
2013/8/6,97.308
2013/8/7,96.57
2013/8/8,96.74
2013/8/9,96.74
2013/8/11,96.044
2013/8/12,97.2
2013/8/13,98.153
2013/8/14,97.853
2013/8/15,97.055
2013/8/16,97.055
2013/8/18,97.667
2013/8/19,97.579
2013/8/20,97.31
2013/8/21,97.81
2013/8/22,98.879
2013/8/23,98.879
2013/8/25,98.705
2013/8/26,98.258
2013/8/27,96.892
2013/8/28,97.728
2013/8/29,98.292
2013/8/30,98.292
2013/9/1,98.385
2013/9/2,99.57
2013/9/3,99.554
2013/9/4,99.728
2013/9/5,100.116
2013/9/6,100.116
2013/9/8,99.977
2013/9/9,99.719
2013/9/10,100.285
2013/9/11,99.83
2013/9/12,99.578
2013/9/13,99.578
2013/9/15,99.015
2013/9/16,99.07
2013/9/17,99.128
2013/9/18,98.21
2013/9/19,99.39
2013/9/20,99.39
2013/9/22,99.277
2013/9/23,98.74
2013/9/24,98.745
2013/9/25,98.435
2013/9/26,98.905
2013/9/27,98.905
2013/9/29,97.827
2013/9/30,98.4
2013/10/1,97.926
2013/10/2,97.3
2013/10/3,97.259
2013/10/4,97.259
2013/10/6,97.29
2013/10/7,97.29
2013/10/8,96.901
2013/10/9,97.479
2013/10/10,98.185
2013/10/11,98.185
2013/10/13,98.314
2013/10/14,98.65
2013/10/15,98.544
2013/10/16,98.94
2013/10/17,97.99
2013/10/18,97.99
2013/10/20,97.927
2013/10/21,98.194
2013/10/22,98.133
2013/10/23,97.42
2013/10/24,97.385
2013/10/25,97.385
2013/10/28,97.57
2013/10/29,97.62
2013/10/30,98.194
2013/10/31,98.507
2013/11/1,98.321
2013/11/4,98.692
2013/11/5,98.627
2013/11/6,98.456
2013/11/7,98.65
2013/11/8,98.171
2013/11/11,99.199
2013/11/12,99.138
2013/11/13,99.617
2013/11/14,99.218
2013/11/15,100.24
2013/11/18,100.354
2013/11/19,99.863
2013/11/20,100.181
2013/11/21,100.207
2013/11/22,101.319
2013/11/25,101.29
2013/11/26,101.35
2013/11/27,101.234
2013/11/28,102.21
2013/11/29,102.292
2013/12/2,102.471
2013/12/3,102.933
2013/12/4,102.351
2013/12/5,102.404
2013/12/6,101.742
2013/12/9,103.131
2013/12/10,103.266
2013/12/11,102.798
2013/12/12,102.508
2013/12/13,103.54
2013/12/16,103.27
2013/12/17,103.027
2013/12/18,102.624
2013/12/19,104.213
2013/12/20,104.276
2013/12/23,104.03
2013/12/24,104.176
2013/12/25,104.3
2013/12/26,104.524
2013/12/27,104.879
2013/12/30,105.32
2013/12/31,104.934
2014/1/1,105.3
2014/1/2,105.324
2014/1/3,104.833
2014/1/6,104.912
2014/1/7,104.21
2014/1/8,104.712
2014/1/9,104.844
2014/1/10,104.83
2014/1/13,103.949
2014/1/14,103.116
2014/1/15,104.179
2014/1/16,104.571
2014/1/17,104.295
2014/1/20,104.238
2014/1/21,104.225
2014/1/22,104.223
2014/1/23,104.635
2014/1/24,103.37
2014/1/27,102.05
2014/1/28,102.661
2014/1/29,103.231
2014/1/30,102.3
2014/1/31,102.758
2014/2/3,102.192
2014/2/4,101.142
2014/2/5,101.689
2014/2/6,101.466
2014/2/7,102.039
2014/2/10,102.524
2014/2/11,102.133
2014/2/12,102.52
2014/2/13,102.469
2014/2/14,102.188
2014/2/17,101.564
2014/2/18,102.062
2014/2/19,102.332
2014/2/20,102.311
2014/2/21,102.312
2014/2/24,102.513
2014/2/25,102.482
2014/2/26,102.15
2014/2/27,102.299
2014/2/28,102.11
2014/3/3,101.305
2014/3/4,101.412
2014/3/5,102.178
2014/3/6,102.367
2014/3/7,103.032
2014/3/10,103.19
2014/3/11,103.236
2014/3/12,102.84
2014/3/13,102.783
2014/3/14,101.78
2014/3/17,101.33
2014/3/18,101.859
2014/3/19,101.44
2014/3/20,102.468
2014/3/21,102.407
2014/3/24,102.241
2014/3/25,102.207
2014/3/26,102.285
2014/3/27,101.903
2014/3/28,102.147
2014/3/30,102.889
2014/3/31,103.214
2014/4/1,103.633
2014/4/2,103.867
2014/4/3,103.896
2014/4/4,103.896
2014/4/6,103.32
2014/4/7,103.069
2014/4/8,101.955
2014/4/9,102.107
2014/4/10,101.38
2014/4/11,101.38
2014/4/13,101.442
2014/4/14,101.904
2014/4/15,101.877
2014/4/16,102.201
2014/4/17,102.443
2014/4/18,102.443
2014/4/20,102.56
2014/4/21,102.67
2014/4/22,102.621
2014/4/23,102.48
2014/4/24,102.302
2014/4/25,102.302
2014/4/27,102.105
2014/4/28,102.516
2014/4/29,102.564
2014/4/30,102.22
2014/5/1,102.266
2014/5/2,102.266
2014/5/4,102.2
2014/5/5,102.14
2014/5/6,101.693
2014/5/7,101.872
2014/5/8,101.593
2014/5/9,101.593
2014/5/11,101.9
2014/5/12,102.185
2014/5/13,102.232
2014/5/14,101.815
2014/5/15,101.499
